"module name","licenses"
"@next/env@14.2.15","MIT"
"@next/swc-linux-x64-gnu@14.2.15","MIT"
"@next/swc-linux-x64-musl@14.2.15","MIT"
"@ory/client@1.6.2","Apache-2.0"
"@ory/integrations@0.0.1","Apache-2.0"
"@swc/counter@0.1.3","Apache-2.0"
"@swc/helpers@0.5.5","Apache-2.0"
"@types/tldjs@2.3.4","MIT"
"asynckit@0.4.0","MIT"
"axios@1.7.7","MIT"
"binaryextensions@6.11.0","Artistic-2.0"
"busboy@1.6.0","MIT"
"caniuse-lite@1.0.30001589","CC-BY-4.0"
"client-only@0.0.1","MIT"
"combined-stream@1.0.8","MIT"
"cookie@1.0.1","MIT"
"delayed-stream@1.0.0","MIT"
"editions@6.21.0","Artistic-2.0"
"follow-redirects@1.15.9","MIT"
"form-data@4.0.0","MIT"
"graceful-fs@4.2.11","ISC"
"istextorbinary@9.5.0","Artistic-2.0"
"js-tokens@4.0.0","MIT"
"loose-envify@1.4.0","MIT"
"mime-db@1.52.0","MIT"
"mime-types@2.1.35","MIT"
"nanoid@3.3.8","MIT"
"next@14.2.15","MIT"
"picocolors@1.0.0","ISC"
"postcss@8.4.31","MIT"
"proxy-from-env@1.1.0","MIT"
"punycode@1.4.1","MIT"
"react-dom@18.2.0","MIT"
"react@18.2.0","MIT"
"scheduler@0.23.0","MIT"
"set-cookie-parser@2.7.0","MIT"
"source-map-js@1.0.2","BSD-3-Clause"
"streamsearch@1.1.0","MIT"
"styled-jsx@5.1.1","MIT"
"textextensions@6.11.0","Artistic-2.0"
"tldjs@2.3.1","MIT"
"tslib@2.8.0","0BSD"
"version-range@4.14.0","Artistic-2.0"

